xcode-installer,0.3.1,45654
xcode_log_parser,0.1.0,2582
xcode_make,0.0.2,6858
XcodePages,0.1.1,27924
xcode-pristine,0.1.4,7476
xcodeproj,1.24.0,129641908
xcodeproject,0.3.13,43577
xcode-project-renamer,0.0.1,4237
xcodeproject_swift,0.3.14,5268
xcodeprojfiler,0.4.0,5242
xcodeproj_merge,0.1.0,2858
xcodeproj_setting,1.0.0,14855
xcodeproj-sort,1.0.2,4646
xcodeproj_utils,0.2.3,27625
xcoder,0.1.18,125368
xcoderake,0.3,23610
xcode-result-bundle-processor,1.0.0,3209
xcode_server,0.1.1,5325
xcodesnippet,0.0.2,5939
xcodesnippets,0.2.1,10524
xcode_template_maker,0.0.3,9932
XcodeTemplates,0.1.0,3004
xcode_trash_remover,2.0.3,10175
xcode-utils,1.0.6,10255
xcode-yamlizer,0.0.4,12148
xcody,0.4.5,17299
xcoed,1.0.1,13205
xconsul,0.2.0,1995
xcop,0.7.1,172735
xcopen,0.0.5,2580
xcov,1.8.1,8043818
xcpdeproj_setting,1.0.0,2345
xcperfect,0.0.3,43194
xcpfix,0.0.2,6072
xcpgigigo,0.1.1,2562
xcplayground,0.0.1,3333
xcpretty,0.3.0,72312054
xcpretty-actions-formatter,0.1.2,15975
xcpretty-azure-formatter,0.2.1,13026
xcpretty-azure-pipelines-formatter,1.0.0,2457
xcpretty-bb,0.1.12.bb14,236620
xcpretty-buildkite-formatter,0.0.2,139563
xcpretty-custom-print-formatter,1.0.0,1715
xcpretty-json-formatter,0.1.1,4275424
xcpretty-junit-formatter,0.1,2212
xcpretty-pmd-formatter,0.0.4,7682
xcpretty-profiler-formatter,0.0.1,3026
xcpretty-security-patched,0.3.2,605
xcpretty-teamcity-formatter,0.0.4,19306
xcpretty-travis-formatter,1.0.1,67369348
xcpretty-travis-formatter-security-patched,1.0.3,447
xcpretty-travis-profiler-formatter,0.0.2,7266
xcpretty-warning-counter,1.2.0,7999
xcpretty-yandex-money-formatter,1.0.9,13591
xcpretty-yoomoney-formatter,1.0.8,1675
xcprofiler,0.6.3,239110
xcres,0.6.1,22062
xcresult,0.2.1,6915130
xcresultscrapper,0.2b,230
xcrowdin,0.1.3,7120
xcselect,0.1.11,59222
xcsim,1.0.2,7546
xcskarel,0.16.1,37740
xcsv,0.3.2,7493
xctasks,0.6.0,39346
xctester,0.2.1,6527
xctest_list,1.2.1,3825897
xctest-runner,1.0.3,15903
xctoken,0.1.1,51444
xctools,0.0.2,6099
xctracker,0.1.1,4054
xcube,0.0.0,3504
xcunique,0.0.1,3392
xcurl,1.0.11,3106
XCUtils,0.2.3,17375
xcv,0.0.1,1837
xcvm,1.0.2,11331
xdan-datetimepicker-rails,2.5.4,8202953
xda-projects-listings,0.0.2,4456
xdata,0.1.2,5875
XDCC-Fetch,1.409,8558
XDDCrawler,0.0.1.1,5476
xdelivery,2.0.3,26592
xdg,8.3.0,1633547
xdg_test_gem,0.0.2,923
xdissent-less,1.0.0,5643
xdite,1.5.1,33034
xdo,0.0.4,237449
x_do,0.1.2,10402
x_do_bindings,0.2.1,5346
xdojava,1.0.8,21669
xdomain-rails,1.0.4,17862
xdotcommer-rspec-custom-matchers,0.1.1,3402
xdr,3.0.3,2600845
xdrgen,0.1.1,6721
xdrp,0.2.2,7729
xdry,0.1.2,10170
xdt,1.0.6,5639
xduration,3.0.0,105808
xebec,2.7.0,55008
xe_client,1.1.1,84407
xe_currency,0.0.1,2534
x-editable-rails,1.5.5.1,1526574
x-editable-rails-bs4,1.5.5.2,2099
xednese,0.1.0,8374
xeicon-rails,2.3.1.4,8587
xelnex,0.0.2,5679
xelor,0.1.5,10618
xembly,0.5.0,15241
xeme,2.0,7555
xen,0.1.2.1,9964
xenapi,0.2.11,44095
xenapi-ruby,0.1.29,4609
xencap,1.2.1,10823
xencoder,0.2.0,2736
xenda-nifty-generators,0.3.2,4539
xenda-typhoeus,0.2.4,4139
xendeploy,0.20,89762
xendify,0.1.0,477
xendit,1.0.0,9642
xendit_api,0.3.0,9226
xendit-client,0.5.2,2386
xendit-rails,0.0.3,4581
xendit-ruby,0.0.0,2285
xenon,0.0.5,12267
xenon-http,0.0.5,4966
xenon-routing,0.0.5,5050
xenos-enigma,1.0.0,2002
xenrec,0.1.3,7917
xen-ruby,0.7.2,13207
xenum,0.1.4,1217
xeon,0.0.0,280
xerb,0.1.0,1745
xero,0.0.7,24103
xero-api,2.0.0,4235
xero-cli,0.0.3,4998
xero_exporter,1.3.0,459
xero_gateway,2.7.0,301632
xero_gateway-float,2.1.7,25459
xero_gateway-n8vision,2.0.20,3971
xeroizer,3.0.1,2199322
xeroizer-3-pre-beta,3.0.0.pre.beta,1495
xeroizer-float,2.15.5.2,47974
xero-min,0.0.9,4222
xero-ruby,5.0.0,1307491
xes,0.1.3,9600
xettercap,1.5.7xerob,1707
xezat,0.3.1,21068
xf,0.1.2,10337
xfabricator,1.1.0,8724
xfcc_parser_ruby,0.1.2,2811
xfel-timew-jira,0.1.3,3272
xferase,0.1.4,5042
xfers,1.2.0,20728
xfetch,0.1.0,1924
xf-generators,0.0.2,7147
xfiles,1.6.2,8703
x_files,1.1.0,5062
xfiredb,1.1.0,5073
xfn_stone,0.0.8,23036
xforge,0.4.0,51100
xforms,0.0.4,13420
xforum,0.0.391,69244
xfrtuc,0.0.13,63190
xftdim,0.0.1,4356
xftp,0.5.0,21927
xftp-rails,0.5.0,11751
xfyun-spark,0.1.3,964
xgamerx-cap-recipes,0.1.4,33228
xgb,0.8.0,123054
xgboost,0.2.1,5528
xgem,0.0.2,6868
xget,2.1.5,12232
xgt-ruby,0.1.4,7272
xh5-tweetstream,1.1.0,4427
xh5-twitter-stream,0.1.0,4480
xhash_client,0.3.8,15430
xheditor,0.1.0,4146
XHg4NFx4QzdceDE4cFx4QzRceEM5XHhGRVx4MDBceEVDXHg5Q1x4RUZceEI5XHhDMGlceEFFfkNOXGVcdlx4OTNceEE5XHhDNw,0.1.0,4221
xHire-activerecord-tableless,0.1.1,3362
xHire-validates_as_email,0.6.0,3408
xhive,1.6.7,54217
xhochy-rainpress,1.1.0,3370
xhochy-scrobbler,0.2.14,3356
xhochy-scrobbler-notify,0.0.1,3367
xhp,0.1.0,2697
xhr,0.2.0,5483
xhr_flash,0.0.3,8968
xhtml,0.0.4,5521
xhtmldiff,1.0.0,8948
xhtml_report_generator,4.0.3,47940
xhttp,0.1.0,1989
xhummingbird,0.1.6,11169
xhyve,0.1.0,2369
xhyve-ruby,0.0.6,14713
xi,99.99,7438
xiacc,0.1,4234
xiami,0.1.0,12255
xiami_cloner,0.0.1,3626
xiami_radio,1.1.11,14072
xiami_sauce,0.0.3,8412
xianghorse_view_tool,0.1.0,2348
xian-test-jasmine,0.1.3,14374
xiaodao_mega_lotto,1.0.0,5429
xiaohuangji,0.0.5,10799
xiaomi,0.1.0,3248
xiaomipush,1.1.2,5845
xiaomi-push,0.3.0,13827
xiaonei,0.0.4,9710
xiaosheng91_palindrome,0.2.1,5619
xiaoXbao,9.5.6,9484
xibdiff,0.1.0,4143
xibe,0.0.1,4467
xib_image_validator,0.1.1,5166
xibtoti,0.0.2,7276
xid,0.0.3,15584
xidle,0.0.3,10069
xify,0.6.0,14261
xify-rocket_chat,0.3.0,7031
xig_installer,0.0.2,7806
xignature,0.1.8,3073
xignite,0.1.2,7153
xignite_synchrony,0.1.0,3723
xik,0.0.1,2642
xiki,0.6.5,42052
xi-lang,0.2.5,21307
xilence,2.0.5,12187
xilight,0.1.9,10657
xilinx-provision,1.0.0,4285
xilo,0.0.1,4027
xim,0.0.1,3995
ximate,0.3.2,39010
xi-midi,0.2.0,11057
ximobi,0.0.3,8343
xinchao,0.0.2,3740
xin_copyright,0.1.0,1943
xing,0.0.6,10064
xing_api,0.7.1,44372
xing_api_client,0.0.4,14751
xing-backend,0.0.25,33855
xing-backend-specdoc,0.0.2,6660
xing_backend_token_auth,0.1.32,6072
xing-cap_gun,0.3.2,11577
xing-dev-assets,0.0.1,4871
xinge-for-ruby,0.1.15,7287
xing-framework,0.3.2,42861
xing-gearman-ruby,1.3.1,12518
xing-root,0.0.9,24324
xing-vpim,0.658.1,3360
xinput_wrapper,0.8.1,26485
xinput_wrapperplus,0.5.0,13706
xinuc-indofaker,0.0.4,6782
xinuc-sermont,0.3.1,10264
xio,1.0.0,3469
xip,0.0.1,3239
xipai,0.0.1,6220
xip-alexa,1.0.0.pre2,1634
xi_parser,0.0.1,1784
xip-facebook,0.22.0,1575
xipio,1.0.2,70427
xip-luis,1.2.2,3656
xip-twilio,1.3.6,6964
xirr,0.7.0,182206
xirr_newton_calculator,0.0.8,21398
xisbn,0.0.4,10638
xi-superdirt,0.2.2,6179
xita_mean,0.1.0,404
xively_api_client,0.1.0,5703
xively-cli,0.0.9,3698
xively-rb,0.2.10,7832
xively-rb-connector,0.1.4,10631
xiv_lodestone,0.0.7,12277
xi_wechat_corp,1.2.6,26844
xj,0.0.1,3701
xjson,0.1,3415
xkbcommon,0.1.1,5051
xkcd,1.1.1,38384
xkcd936,0.0.2,5723
xkcd_api,0.0.1,2683
xkcd_calendar_facts,0.1.0,2074
xkcd_downloader,0.1.0,3427
xkcd-gem,0.0.0,3582
xkcd_guru,0.0.1,3592
xkcd_sfw_generator,0.1.0,8472
xkeyrap,0.0.27,34516
xkeys,2.2.0,68250
xkimo,0.0.7,9354
xkoon,1.0.2,5499
xkpassword,0.3.3,145230
xlearn,0.1.5,9667
xlf_importer,0.2.2,10043
xlgrep,0.0.4,10911
xlib,1.2.0,10323
xlib-objects,0.7.6,34516
xlib_ruby,0.1,4191
xlib-xinput2,1.0.0,3287
xli-dtr,1.1.0,10296
xliff,1.0.3,2263
xliffer,1.0.3,221526
xliffle,0.3.3,31408
xli-growling_test,0.0.1,3391
xli-hickey,0.0.2,5662
xli-mm,0.0.3,3341
xlint,0.0.6,10656
XLiveServices,0.1.0,7905
xlmydsykwnrfbnvjffqcokoorkbskzzhrtgnzxkapmjtffjfkwcvwklmsrzwfiatwigrvmftpbybbeqi,0.1.0,3127
xlo,0.0.4,25010
xloc,0.2.4,13117
xlocalize,0.7.2,30024
xlog,0.1.8,25143
xlogin,0.16.10,242904
xlogin-apiclient,0.2.6,12174
xls,0.1.2,9647
xls2csv,0.2.0,13559
xls2json,0.0.1,46122
xls2odat,1.1.7,7551
xls_exporter,1.2.0.1,9348
xls-file,0.1.0,237
xls_function,0.1.6,8254
xls_html_cleaner,0.0.2,9443
xls_porter,1.2.3,47256
xls_reporter,0.0.1,3465
xls_sestavy,0.3.4,29718
xls-split,0.2,3651
xlstocsv,0.0.2,3912
xls_to_csv-paperclip-processor,0.4.5,26261
xls_to_rdf,0.0.0.1,2445
xlsx,0.3,13938
xlsx2latex,0.1.0.rc2,5629
xlsx2mysql,0.3.0,1090
xlsx2xls,1.0.3,6878
xlsx_drone,0.5.0,6640
xlsx-DSL,0.3.0,1907
xlsx_importer,0.0.1,3791
xlsx_to_html,0.1.0,1878
xlsx_to_k8s_network_policy,0.1.0,2013
xlsxtream,2.4.0,6613549
xlsxtream_rails,0.8.0,6857
xlsxwriter,0.2.2,66921
xlsx_writer,0.4.4,263207
xlymian-cijoe,0.2.1,4460
xlymian-redis-store,0.3.8,4431
xm,0.0.5,11404
xmandrill,0.0.2,3671
xmas,0.1.0,1635
xmastree,0.0.2,6367
xmas-tree,1.0.0,1570
xmatch,0.3.0,29957
xmfun,0.0.8,16973
xmigra,1.7.4,37072
xmimerge,0.0.1,3607
xmimodel,0.2.0,6210
xmindoc,0.0.7,4059
xmk,0.1.2,1060
xml2csv,0.0.2,6172
xml2go,0.0.4,10356
xml2hash,0.1.0,6964
xml2js,0.1.1,1861
xml2json,0.4.5,30985
xml2json-rb,0.3.1,3390
xmlable,0.0.1,4076
xml_active,0.0.6,16682
xmlblog-acts_as_versioned,0.6.5,6687
xmlbuilder,0.4.2,9438
xmlcanonicalizer,0.1.2,852465
XMLCanonicalizer,1.0.1,731187
xmlcellent,0.1.0,4136
xmlcodec,0.3.2,37799
xml_col_finder,0.3.0,6667
xml_contacts_extractor,0.0.5,13196
xmlconv,1.1.7,37706
xmlconv2,2.0.0,4347
xml_convert,0.1.0,12961
xml_data_builder,1.0.0,4244
xml_data_extractor,0.7.0,20921
xmldsig,0.7.0,6861243
xmldsig-fiscalizer,0.2.5,7568
xmldsign,0.2.0,16552
xml_dsl,0.5.1,7672
xml-dsl,0.0.5,9168
XmlEasy,0.0.2,7865
xmlelements,0.1.2,7766
xmlenc,0.8.0,7483429
xml_errors_parser,0.0.2,18319
xml_escape,0.0.2,6568
xml_file_renamer,0.0.9,19847
xml_fixtures,0.1.1,17166
xml-focus,0.0.1,3697
xml-fu,0.2.0,655444
xmlhash,1.3.9,96893
xmlhasher,1.0.7,270839
xmlhasher_with_attributes,1.0.1,3314
xml_hate,2.1.1,27236
xml_in_kdl,0.1.0,789
xmlish,0.0.1,3604
xmlize,0.1.1,4493
xml_jats_resolver,0.3.2,11850
xml_jats_resolver2,0.3.2,1963
xml-kit,0.6.0,188008
xml-magic,0.1.1,30131
xmlmap,0.1,2411
xmlmapper,0.8.1,7083990
xml_mapper,0.5.8,44640
xml-mapping,0.10.1,2412686
xml-mapping_extensions,0.4.9,72636
xml_matchers,0.2.2,6554
xml_mini,0.1.0,4226
xml-mixup,0.2.0,22105
xml-motor,0.1.6,44523
xmlmunger,0.0.6,3477
xml_node_stream,1.0.2,7445
