uberdoc,20823.225,4,0.3.2,9933,0,http://github.com/chinmaygarde/uberdoc,2015-02-17T09:19:20.108Z
uber-estimates,0,1,0.1.0,2763,0,https://github.com/littleROR/uber-estimates,2016-09-04T19:17:54.739Z
uberflip_api,132.705,2,0.0.2,3791,0,https://www.uberflip.com/,2017-12-19T06:21:10.214Z
uberhook,2995328.9426666666,4,0.0.4,12688,0,https://github.com/mjio/uberhook,2012-08-02T11:40:11.708Z
uberinstaller,10309978.038,4,1.1.1,11291,0,https://github.com/endorama/UberInstaller,2013-07-18T14:03:55.324Z
uberkit,1680612.6326666668,4,0.0.10,15259,102,http://github.com/mbleigh/uberkit,2009-11-17T07:16:23.197Z
uber_login,3165865.190785714,15,3.0.0,36319,0,https://github.com/AlfaOmega08/uber_login,2013-12-17T10:09:54.226Z
ubermajestix-lightning,2.001,2,1.0.1,5836,4,http://github.com/ubermajestix/lightning,2014-08-10T19:43:41.007Z
ubermajestix-twitter,0,1,0.4.2,3612,0,http://twitter.rubyforge.org,2014-08-10T19:43:39.085Z
uberpass,12587921.404800002,6,1.0.0,18224,3,https://github.com/mynameisrufus/uberpass,2012-01-05T21:20:00.550Z
uber_presenter,84035.27866666667,4,0.1.2,10672,0,https://github.com/lexgorbunov/uber-presenter,2014-08-19T13:54:17.214Z
uberquick,0,1,0.0.1,3590,0,"",2014-10-04T22:01:30.806Z
uber-ruby,8993656.323818183,12,0.10.0,36130,47,https://github.com/sishen/uber-ruby,2014-09-15T05:18:13.776Z
uber-s3,2887823.629,13,0.2.4,193904,40,http://github.com/nulayer/uber-s3,2011-06-01T15:40:06.580Z
uberscore,12872.420666666667,4,0.0.5,13516,85,https://github.com/shockone/uberscore,2015-07-27T21:05:54.312Z
uber-sdk,0,1,0.1.1,2999,1,https://github.com/chrisenytc/uber,2016-08-09T08:41:03.705Z
uber_select_rails,11388159.020733332,16,0.6.1,44869,1,https://github.com/culturecode/uber_select_rails,2016-10-02T20:15:59.085Z
ubersicht-ruby-sdk,19528584.226749998,5,1.0.0,11691,0,https://github.com/starfish-codes/ubersicht-ruby-sdk,2021-09-16T11:15:20.388Z
ubersmith,7198932.3685,5,1.0.5,21194,0,http://rubygems.org/gems/ubersmith,2011-12-02T17:51:14.219Z
uberspacify,7830016.8741999995,6,0.9.5,18665,70,https://github.com/yeah/uberspacify,2012-08-07T09:02:42.924Z
uberspec,3284051.2156666666,4,0.2.1,14043,0,http://github.com/alanpeabody/uberspec,2010-10-25T04:42:59.444Z
uberssh,202395.434,2,0.2.0,5488,0,https://github.com/baschtl/uberssh.git,2015-05-08T09:37:27.189Z
uber_task,0,1,0.0.0,1107,2,https://github.com/shakacode/uber_task,2022-06-17T01:56:50.209Z
uber_view_tool,0,1,0.1.0,2082,0,https://bitbucket.org/ryanjames11/uber_view_tool,2020-04-02T07:18:05.455Z
