yada,0,1,0.1.0,2735,https://github.com/lucaong/yada
yadat,0,1,0.0.0,2215,https://github.com/joiggama/yadat
yada_yada,0,1,0.1,4310,http://github.com/ConradIrwin/yada_yada
yaddl,437652.0317333333,16,0.1.6,39921,http://yaddl.org
yadecli,990376.5238,6,0.1.6,9385,https://gitlab.com/yadedev/yade-cli
yade-common,1552040.012,2,0.1.2,3716,https://gitlab.com/yadedev/yade-common
yade-composer-rest-client,1552504.78,2,0.1.2,3597,https://gitlab.com/yadedev/yade-composer-rest-client
yade-domain-rest-client,1552171.843,2,0.1.2,3589,https://gitlab.com/yadedev/yade-domain-rest-client
yade-project-rest-client,0,1,0.1.1,2163,https://gitlab.com/yadedev/yade-project-rest-client
yadi,0,1,0.1.0,2500,https://github.com/appelsin/yadi
yadic,902.5350000000001,3,0.1.2,11140,http://github.com/benbc/yadic.rb
yadirect,0,1,0.0.1,4535,http://github.com/sashich/yadirect
ya_direct_api,3952.0054999999998,3,0.0.3,8747,""
yadisk,47086448.884,5,0.3.0,9357,https://github.com/yegorov/yadisk
yadisk-client,768183.7474999999,3,1.11.2,1836,https://github.com/Smolget/yadisk
yadm,0,1,0.1,3647,https://github.com/7even/yadm
yadmin,0,1,0.0.1,3457,
yadokari,1071.517,2,0.1.1,3685,https://github.com/omishimaspace/yadokari.rb
yadoro,898.382,2,0.3.1,5172,http://github.com/nmatte
yadriggy,23851290.8642,6,1.4.0,9207,https://github.com/csg-tokyo/yadriggy
yads,8262714.586,8,0.3.1,22944,http://github.com/rafaelss/yads
yadtfp,0,1,1.0.2,3637,https://github.com/vinodadhikary/yadtfp
yae,0,1,1.0.0,950,https://github.com/stevegeek/yae
yael,11355485.4065,3,0.0.3,7511,https://github.com/nerdgeschoss/yael
ya_email_validator,0,1,1.0.0,4511,http://github.com/voipscout/ya_email_validator
ya_enum,5399264.8185,3,0.1.3,5639,http://github.com/tonsser/ya_enum
yaesu,91599.85492307693,14,1.1.4.beta,79984,https://github.com/cococoder/yaesu
yafa,5422.329,2,1.0.0,4349,https://github.com/KlotzAndrew/yafa
yaffle,0,1,0.0.1,3998,http://zhuxingruo.baidu.com
yaffles,0,1,0.0.1,2641,https://rubygems.org
yafin,195106.84,2,0.2.0,6989,http://github.com/pbjorklund/yafin
ya_finance,60559.75383333333,7,0.0.7,1871,https://rubygems.org/gems/ya_finance
yafoy_integrations,22345215.478,5,1.1.3,8871,https://github.com/olimart/yafoy-integrations
yafoy-oembed,0,1,0.1.0,2422,https://github.com/olimart/yafoy-oembed
yafr,3555780.781,2,0.0.1,6264,https://github.com/kelvinst/yafr
yaframework,18803.380266666667,16,0.5.2,22568,https://github.com/maxbarsukov/yaframework
yafs,9756173.503285715,8,0.0.8,17305,
yaga,0,1,0.0.1,4687,https://github.com/opahk/yaga
yage,29067264.6655,3,0.0.3,5521,https://github.com/yasuhiroki/yage-gem
yagg,196.458,2,0.1.1,4185,http://github.com/RGSS3/yagg
yaggo,0,1,1.5.10,2592,https://github.com/gmarcais/yaggo
yaggy,3876267.421,7,0.1.7,22075,http://github.com/osheroff/yaggy
yagni,364917.892,2,1.3,7622,http://github.com/rmascarenhas/yagni
